 1950         2015
 1950  -1.39  -1.26  -1.16  -1.18  -1.10  -0.89  -0.59  -0.50  -0.43  -0.46  -0.55  -0.72
 1951  -0.77  -0.62  -0.44  -0.16   0.01   0.36   0.61   0.95   1.08   1.22   1.11   0.90
 1952   0.57   0.37   0.29   0.34   0.26   0.07  -0.07   0.01   0.17   0.23   0.23   0.33
 1953   0.50   0.61   0.64   0.66   0.70   0.67   0.66   0.70   0.76   0.79   0.76   0.75
 1954   0.72   0.52   0.06  -0.35  -0.52  -0.49  -0.57  -0.74  -0.80  -0.73  -0.72  -0.72
 1955  -0.74  -0.68  -0.72  -0.82  -0.84  -0.76  -0.75  -0.73  -1.05  -1.39  -1.73  -1.58
 1956  -1.14  -0.75  -0.58  -0.50  -0.46  -0.46  -0.54  -0.55  -0.49  -0.49  -0.54  -0.50
 1957  -0.31   0.05   0.40   0.74   0.87   0.99   1.08   1.18   1.21   1.32   1.51   1.76
 1958   1.84   1.63   1.24   0.89   0.72   0.63   0.51   0.34   0.29   0.38   0.49   0.62
 1959   0.61   0.58   0.46   0.32   0.17  -0.09  -0.22  -0.26  -0.07   0.02   0.12   0.02
 1960  -0.13  -0.23  -0.20  -0.08  -0.07  -0.02   0.09   0.22   0.22   0.14   0.09   0.07
 1961   0.04  -0.03  -0.03   0.07   0.28   0.35   0.22  -0.09  -0.27  -0.25  -0.15  -0.12
 1962  -0.21  -0.28  -0.29  -0.29  -0.24  -0.15  -0.04  -0.09  -0.16  -0.28  -0.37  -0.46
 1963  -0.41  -0.17   0.12   0.25   0.30   0.50   0.82   1.07   1.17   1.25   1.36   1.28
 1964   1.05   0.58   0.08  -0.35  -0.56  -0.59  -0.64  -0.71  -0.79  -0.81  -0.81  -0.76
 1965  -0.56  -0.26  -0.03   0.22   0.51   0.83   1.18   1.45   1.74   1.90   1.93   1.70
 1966   1.35   1.12   0.93   0.62   0.38   0.26   0.25   0.12  -0.03  -0.07  -0.14  -0.21
 1967  -0.28  -0.35  -0.45  -0.39  -0.16   0.07   0.10  -0.11  -0.25  -0.33  -0.30  -0.43
 1968  -0.64  -0.77  -0.68  -0.54  -0.20   0.13   0.44   0.47   0.45   0.58   0.78   0.98
 1969   1.11   1.09   1.02   0.89   0.79   0.58   0.46   0.54   0.79   0.90   0.91   0.78
 1970   0.61   0.40   0.35   0.28   0.11  -0.23  -0.54  -0.66  -0.71  -0.68  -0.79  -1.02
 1971  -1.24  -1.27  -1.05  -0.81  -0.71  -0.71  -0.74  -0.69  -0.74  -0.80  -0.92  -0.84
 1972  -0.64  -0.30   0.05   0.35   0.59   0.84   1.11   1.37   1.62   1.85   2.10   2.10
 1973   1.82   1.24   0.55  -0.05  -0.47  -0.79  -1.01  -1.18  -1.32  -1.60  -1.88  -2.04
 1974  -1.88  -1.60  -1.24  -0.98  -0.82  -0.71  -0.54  -0.40  -0.43  -0.64  -0.80  -0.69
 1975  -0.54  -0.51  -0.58  -0.65  -0.80  -0.97  -1.14  -1.20  -1.41  -1.50  -1.63  -1.66
 1976  -1.55  -1.14  -0.73  -0.47  -0.32  -0.08   0.16   0.36   0.59   0.74   0.79   0.76
 1977   0.64   0.57   0.32   0.28   0.31   0.44   0.40   0.43   0.52   0.68   0.77   0.78
 1978   0.71   0.46   0.10  -0.15  -0.28  -0.27  -0.34  -0.39  -0.37  -0.25  -0.12  -0.08
 1979  -0.05   0.07   0.19   0.26   0.19   0.04   0.02   0.16   0.33   0.48   0.49   0.55
 1980   0.50   0.39   0.27   0.28   0.38   0.40   0.25   0.05  -0.07  -0.03   0.01  -0.13
 1981  -0.38  -0.57  -0.53  -0.41  -0.31  -0.34  -0.39  -0.37  -0.26  -0.17  -0.16  -0.11
 1982  -0.08  -0.00   0.06   0.32   0.54   0.65   0.73   0.98   1.48   1.87   2.14   2.21
 1983   2.16   1.87   1.48   1.19   0.94   0.61   0.19  -0.22  -0.53  -0.82  -0.92  -0.81
 1984  -0.49  -0.30  -0.25  -0.36  -0.49  -0.45  -0.32  -0.21  -0.28  -0.59  -0.92  -1.12
 1985  -1.02  -0.85  -0.74  -0.73  -0.69  -0.60  -0.54  -0.52  -0.50  -0.43  -0.37  -0.40
 1986  -0.47  -0.41  -0.24  -0.15  -0.06   0.03   0.26   0.46   0.69   0.89   1.07   1.17
 1987   1.24   1.26   1.18   1.07   1.03   1.16   1.42   1.61   1.62   1.49   1.26   1.10
 1988   0.75   0.48   0.13  -0.23  -0.75  -1.20  -1.27  -1.16  -1.28  -1.55  -1.86  -1.87
 1989  -1.71  -1.45  -1.11  -0.84  -0.57  -0.40  -0.31  -0.29  -0.30  -0.30  -0.22  -0.08
 1990   0.13   0.18   0.25   0.25   0.23   0.24   0.28   0.33   0.35   0.30   0.35   0.35
 1991   0.34   0.22   0.20   0.27   0.50   0.69   0.79   0.73   0.69   0.81   1.15   1.44
 1992   1.58   1.49   1.36   1.22   1.01   0.68   0.32   0.03  -0.21  -0.29  -0.23  -0.02
 1993   0.16   0.29   0.47   0.63   0.64   0.50   0.26   0.22   0.17   0.18   0.11   0.07
 1994   0.07   0.10   0.20   0.29   0.37   0.38   0.41   0.41   0.51   0.74   1.04   1.15
 1995   1.03   0.80   0.58   0.30   0.16   0.01  -0.15  -0.41  -0.65  -0.81  -0.87  -0.89
 1996  -0.85  -0.76  -0.61  -0.41  -0.28  -0.24  -0.21  -0.28  -0.29  -0.33  -0.39  -0.48
 1997  -0.51  -0.38  -0.13   0.23   0.69   1.16   1.51   1.80   2.06   2.26   2.36   2.34
 1998   2.18   1.84   1.35   0.92   0.38  -0.15  -0.67  -0.97  -1.17  -1.25  -1.38  -1.51
 1999  -1.51  -1.28  -1.01  -0.89  -0.93  -0.97  -1.04  -1.05  -1.12  -1.26  -1.48  -1.68
 2000  -1.70  -1.47  -1.15  -0.89  -0.78  -0.70  -0.59  -0.52  -0.55  -0.64  -0.75  -0.77
 2001  -0.72  -0.58  -0.47  -0.35  -0.23  -0.06   0.02   0.02  -0.06  -0.16  -0.25  -0.27
 2002  -0.18  -0.01   0.12   0.29   0.50   0.69   0.76   0.79   0.92   1.15   1.31   1.26
 2003   1.07   0.77   0.42  -0.01  -0.22  -0.07   0.23   0.36   0.41   0.41   0.44   0.34
 2004   0.29   0.19   0.14   0.11   0.16   0.32   0.53   0.69   0.75   0.72   0.71   0.67
 2005   0.57   0.43   0.29   0.31   0.30   0.29   0.22   0.11   0.03  -0.24  -0.52  -0.83
 2006  -0.86  -0.74  -0.49  -0.26  -0.04   0.08   0.19   0.31   0.51   0.76   0.99   0.99
 2007   0.69   0.27  -0.05  -0.23  -0.25  -0.28  -0.37  -0.61  -0.84  -1.05  -1.20  -1.38
 2008  -1.51  -1.46  -1.21  -0.90  -0.69  -0.51  -0.31  -0.17  -0.12  -0.22  -0.45  -0.72
 2009  -0.83  -0.74  -0.48  -0.15   0.17   0.40   0.52   0.61   0.77   1.07   1.43   1.62
 2010   1.55   1.29   0.98   0.57   0.09  -0.42  -0.88  -1.23  -1.44  -1.49  -1.45  -1.47
 2011  -1.38  -1.23  -0.90  -0.60  -0.30  -0.16  -0.21  -0.41  -0.62  -0.83  -0.98  -0.99
 2012  -0.86  -0.64  -0.45  -0.29  -0.15  -0.03   0.13   0.38   0.53   0.59   0.18  -0.26
 2013  -0.63  -0.62  -0.36  -0.19  -0.15  -0.25  -0.33  -0.33  -0.26  -0.21  -0.28  -0.44
 2014  -0.63  -0.62  -0.45  -0.11   0.08   0.13   0.02   0.04   0.18   0.49   0.65   0.67
 2015   0.56 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90 -99.90
  -99.9
 ONI from CPC
  Provided by NOAA/PSD
  From http://www.cpc.ncep.noaa.gov/data/indices/oni.ascii.txt
 Please redownload if acquired before 11/5/2014
 as the version before did not have a 3-month 
 running average
