 1950 2015
1950   -1.027  -1.149   -1.29  -1.061  -1.416  -1.372  -1.332  -1.061  -0.584  -0.402  -1.157   -1.25
1951   -1.071  -1.199  -1.208  -0.439  -0.305   0.438   0.715   0.847   0.769   0.743   0.722   0.466
1952    0.403    0.12   0.086   0.257  -0.289  -0.657  -0.255  -0.174   0.357   0.304  -0.347  -0.129
1953    0.016   0.375   0.263   0.711    0.83   0.227   0.395   0.248    0.52   0.091   0.048   0.311
1954   -0.054  -0.022   0.178   -0.51  -1.433  -1.585  -1.402  -1.467  -1.157  -1.374  -1.144  -1.106
1955   -0.772  -0.708  -1.134   -1.56  -1.631  -2.291  -1.953   -2.05  -1.831  -1.748  -1.834  -1.863
1956   -1.439    -1.3  -1.396  -1.158  -1.309  -1.513  -1.208  -1.134  -1.364  -1.464  -1.041  -1.021
1957   -0.949  -0.348   0.156   0.351   0.901   0.768   0.924   1.122   1.179   1.097   1.129   1.231
1958    1.472   1.453   1.317   1.025   0.724   0.893   0.711   0.428   0.178   0.208   0.486   0.707
1959    0.578   0.807   0.502   0.218   0.001    0.01  -0.187   0.069   0.055  -0.082   -0.18  -0.263
1960    -0.31  -0.268   -0.08   0.017  -0.334  -0.247  -0.361  -0.254  -0.476  -0.364  -0.338  -0.432
1961   -0.152   -0.27  -0.082   0.017  -0.289  -0.098  -0.175  -0.242  -0.268  -0.513  -0.435  -0.643
1962   -1.091  -0.985  -0.715  -1.023  -0.902  -0.855  -0.711  -0.545  -0.547  -0.657    -0.6   -0.48
1963     -0.7  -0.823  -0.696  -0.814  -0.477  -0.052   0.445   0.626   0.764   0.832   0.859   0.748
1964    0.855   0.439  -0.294  -0.616  -1.275  -1.096  -1.411    -1.5  -1.291  -1.209  -1.202  -0.913
1965   -0.526  -0.324  -0.249   0.102   0.521   0.944   1.391   1.477   1.405    1.22   1.367   1.256
1966    1.308   1.183   0.697   0.555  -0.146  -0.134  -0.153   0.165  -0.091  -0.015   0.026  -0.181
1967   -0.473  -0.944  -1.079  -1.066  -0.469  -0.315  -0.606  -0.427  -0.634  -0.679  -0.421  -0.366
1968   -0.593  -0.684  -0.613  -0.971  -1.097  -0.748   -0.55  -0.121   0.233   0.425   0.603   0.359
1969     0.69   0.867   0.445   0.617   0.697   0.799   0.426   0.158   0.161   0.504   0.653   0.383
1970    0.361    0.41   0.215  -0.055   -0.13   -0.72  -1.137  -1.042  -1.245  -1.103   -1.09  -1.248
